Time, X, Y, Z
0.0,0.066583,1.248566,0.368457
0.008333,0.066583,1.248582,0.368592
0.016667,0.066585,1.24859,0.368728
0.025,0.066581,1.248602,0.368852
0.033333,0.066581,1.24861,0.368986
0.041667,0.06658,1.248617,0.369106
0.05,0.066566,1.248624,0.369226
0.058333,0.066569,1.24862,0.369328
0.066667,0.066565,1.248628,0.369424
0.075,0.066581,1.248613,0.369523
0.083333,0.066574,1.24861,0.369623
0.091667,0.066579,1.248607,0.369715
0.1,0.066575,1.248601,0.369819
0.108333,0.066566,1.248586,0.369925
0.116667,0.066568,1.248578,0.370039
0.125,0.066554,1.248573,0.370159
0.133333,0.066563,1.248562,0.370289
0.141667,0.06657,1.248554,0.370433
0.15,0.066558,1.248562,0.370541
0.158333,0.066555,1.248581,0.370649
0.166667,0.066545,1.248601,0.370771
0.175,0.066535,1.248623,0.370882
0.183333,0.066511,1.248648,0.37099
0.191667,0.066502,1.248658,0.37108
0.2,0.066492,1.24868,0.371182
0.208333,0.066482,1.24869,0.371297
0.216667,0.066462,1.248708,0.371379
0.225,0.066448,1.248719,0.371478
0.233333,0.066425,1.248721,0.371572
0.241667,0.066422,1.248735,0.371676
0.25,0.066409,1.248732,0.37178
0.258333,0.066385,1.248732,0.371867
0.266667,0.066375,1.24873,0.371961
0.275,0.066357,1.248724,0.372062
0.283333,0.066345,1.248723,0.372144
0.291667,0.066341,1.248702,0.372234
0.3,0.066316,1.248689,0.37231
0.308333,0.066303,1.24867,0.372397
0.316667,0.066284,1.248658,0.372466
0.325,0.066276,1.248631,0.372555
0.333333,0.066263,1.248617,0.372629
0.341667,0.066257,1.248612,0.372707
0.35,0.066255,1.248611,0.372791
0.358333,0.066265,1.248612,0.372883
0.366667,0.066275,1.248622,0.372992
0.375,0.066281,1.248643,0.373096
0.383333,0.0663,1.24867,0.373229
0.391667,0.066317,1.248707,0.37336
0.4,0.066356,1.248746,0.373496
0.408333,0.066377,1.248806,0.373635
0.416667,0.066384,1.248878,0.373779
0.425,0.066387,1.248953,0.373906
0.433333,0.06639,1.249027,0.374022
0.441667,0.066387,1.249089,0.374139
0.45,0.066388,1.249136,0.374237
0.458333,0.066391,1.249176,0.374335
0.466667,0.06638,1.249207,0.374432
0.475,0.066389,1.249213,0.37452
0.483333,0.066384,1.249225,0.374594
0.491667,0.066373,1.249218,0.374673
0.5,0.066367,1.249218,0.374757
0.508333,0.066372,1.2492,0.374826
0.516667,0.06639,1.249189,0.374902
0.525,0.066406,1.249183,0.374986
0.533333,0.066403,1.249176,0.37505
0.541667,0.066412,1.249172,0.37513
0.55,0.066416,1.249163,0.375192
0.558333,0.066418,1.249157,0.375244
0.566667,0.066409,1.249141,0.375299
0.575,0.066397,1.249125,0.375342
0.583333,0.066381,1.249102,0.375377
0.591667,0.066366,1.249073,0.37543
0.6,0.066332,1.249045,0.375484
0.608333,0.066307,1.249028,0.375538
0.616667,0.066279,1.249002,0.375597
0.625,0.066231,1.248974,0.375644
0.633333,0.066184,1.248963,0.375678
0.641667,0.066134,1.248953,0.375715
0.65,0.066079,1.248937,0.37575
0.658333,0.06602,1.248919,0.375782
0.666667,0.065966,1.248905,0.375791
0.675,0.065912,1.248883,0.375793
0.683333,0.065856,1.248876,0.375806
0.691667,0.06581,1.248848,0.375795
0.7,0.065763,1.248823,0.375807
0.708333,0.065702,1.248818,0.375792
0.716667,0.065641,1.248792,0.375784
0.725,0.065586,1.248789,0.375768
0.733333,0.065524,1.248776,0.375754
0.741667,0.065459,1.248766,0.375734
0.75,0.065405,1.248762,0.375741
0.758333,0.065336,1.248763,0.375723
0.766667,0.065282,1.248776,0.375705
0.775,0.065238,1.248782,0.375699
0.783333,0.06518,1.248795,0.375681
0.791667,0.06515,1.248805,0.375672
0.8,0.065102,1.248823,0.375645
0.808333,0.065072,1.248818,0.375627
0.816667,0.065048,1.248828,0.375597
0.825,0.065027,1.248819,0.375573
0.833333,0.065005,1.248808,0.375552
0.841667,0.064978,1.248799,0.375527
0.85,0.064965,1.248788,0.375512
0.858333,0.064947,1.248787,0.37549
0.866667,0.064931,1.248791,0.37548
0.875,0.064912,1.248784,0.375467
0.883333,0.064903,1.248786,0.375448
0.891667,0.064887,1.24879,0.375427
0.9,0.064883,1.248787,0.375401
0.908333,0.064898,1.248778,0.375384
0.916667,0.064893,1.248781,0.375345
0.925,0.064894,1.248776,0.375314
0.933333,0.064905,1.248767,0.375301
0.941667,0.064918,1.248767,0.375271
0.95,0.064937,1.248777,0.375255
0.958333,0.064935,1.248774,0.375236
0.966667,0.064946,1.24878,0.375212
0.975,0.064945,1.24878,0.375197
0.983333,0.064945,1.248786,0.375172
0.991667,0.064949,1.248786,0.375161
1.0,0.064942,1.248787,0.375146
1.008333,0.064943,1.248783,0.375137
1.016667,0.064938,1.248789,0.375122
1.025,0.064927,1.248791,0.375108
1.033333,0.06491,1.248795,0.375077
1.041667,0.064909,1.24878,0.375049
1.05,0.064894,1.24878,0.375017
1.058333,0.064883,1.248768,0.374994
1.066667,0.064887,1.248753,0.374968
1.075,0.064888,1.248743,0.374951
1.083333,0.064891,1.248738,0.374922
1.091667,0.064913,1.248721,0.3749
1.1,0.064928,1.248716,0.374863
1.108333,0.064947,1.248706,0.374834
1.116667,0.064966,1.248697,0.374799
1.125,0.064988,1.248688,0.374764
1.133333,0.065024,1.248693,0.374728
1.141667,0.065059,1.248707,0.374668
1.15,0.065097,1.248731,0.374609
1.158333,0.065129,1.248764,0.374528
1.166667,0.065158,1.248774,0.374411
1.175,0.065166,1.248775,0.374278
1.183333,0.065171,1.248735,0.374141
1.191667,0.065132,1.248679,0.37397
1.2,0.065085,1.248618,0.373764
1.208333,0.065009,1.248567,0.373549
1.216667,0.064952,1.248539,0.373339
1.225,0.06488,1.248529,0.373138
1.233333,0.064828,1.248533,0.372961
1.241667,0.064767,1.248573,0.372772
1.25,0.064753,1.24863,0.372651
1.258333,0.064777,1.248697,0.372532
1.266667,0.064835,1.248775,0.372448
1.275,0.064965,1.248856,0.372397
1.283333,0.065165,1.248925,0.372387
1.291667,0.065435,1.248988,0.372408
1.3,0.065793,1.24902,0.372451
1.308333,0.066237,1.249032,0.3725
1.316667,0.066786,1.249008,0.372587
